Inventory Item Details;;;;;;;;;;;;
شركة الكوب الاول;;;;;;;;;;;;
For the period 1 January 2025 to 31 December 2025;;;;;;;;;;;;
;;;;;;;;;;;;
Date;Source;Reference;Contact;Description;Total;Unit Cost Price;Unit Sale Price;Value Movement;QoH Movement;Profit per Item;Revenue Account;Inventory Account
31 ديسمبر 2025;Receivable Invoice;INV-5022;مقهى مذاق لذيذ لتقديم المشروبات;Natural Yirgocheffe Aricha Wubanchi Eth25(bags60k);(3,180.00);35.20;53.00;(2,112.00);(60.0000);17.80;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
31 ديسمبر 2025;Adjustment;Revaluation;;تعديل السعر;10,020.00;0.00;0.00;10,020.00;0.0000;0.00;;635 - مخزون البن الاخضر
31 ديسمبر 2025;Adjustment;Quantity Increase;;جرد 31/12;2,076.80;35.20;0.00;2,076.80;59.0000;0.00;;635 - مخزون البن الاخضر
Total GB0619-اريكا ووبنشي اخضر - Natural Yirgocheffe Aricha Wubanchi Eth25(bags60k);;;;;337,028.00;;;338,096.00;9,605.0000;17.80;;
Closing Balance;;;;;0.00;0.00;0.00;338,096.00;9,605.0000;0.00;;
;;;;;;;;;;;;
GB0620- قوجي ووبنشي اخضر - Natural Yirgocheffe Guji Wubanchi Eth25(bags60k);;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
04 نوفمبر 2025;Payable Invoice;طلبية البن الاخضر الاثيوبى 2025;MESAB GENERAL TRADING FZC;Natural Yirgocheffe Guji Wubanchi Eth25(bags60k);97,594.20;49.29;0.00;97,594.20;1,980.0000;0.00;;635 - مخزون البن الاخضر
05 نوفمبر 2025;Payable Credit Note;7227;امر تحميص مستودع البن الاخضر;Natural Yirgocheffe Guji Wubanchi Eth25(bags60k);(376.80);50.24;50.24;(376.80);(7.5000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
04 ديسمبر 2025;Payable Credit Note;MP 7231;امر تحميص مستودع البن الاخضر;Natural Yirgocheffe Guji Wubanchi Eth25(bags60k);(2,260.80);50.24;50.24;(2,260.80);(45.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
18 ديسمبر 2025;Payable Credit Note;7233;امر تحميص مستودع البن الاخضر;Natural Yirgocheffe Guji Wubanchi Eth25(bags60k);(1,909.12);50.24;50.24;(1,909.12);(38.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
30 ديسمبر 2025;Receivable Invoice;INV-4980;شركة موطن البن للتجارة;Natural Yirgocheffe Guji Wubanchi Eth25(bags60k);(20,925.00);49.24;69.75;(14,773.35);(300.0000);20.51;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
31 ديسمبر 2025;Adjustment;Quantity Decrease;;جرد 31/12;(3,089.76);50.24;0.00;(3,089.76);(61.5000);0.00;;635 - مخزون البن الاخضر
31 ديسمبر 2025;Adjustment;Revaluation;;تعديل السعر;1,582.35;0.00;0.00;1,582.35;0.0000;0.00;;635 - مخزون البن الاخضر
Total GB0620- قوجي ووبنشي اخضر - Natural Yirgocheffe Guji Wubanchi Eth25(bags60k);;;;;70,615.07;;;76,766.72;1,528.0000;20.51;;
Closing Balance;;;;;0.00;0.00;0.00;76,766.72;1,528.0000;0.00;;
;;;;;;;;;;;;
GB0659- توليما كولمبي اخضر - ColombiaTolima(1Kg) CO121;;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;0.00;0.00;0.00;0.00;0.0000;0.00;;635 - مخزون البن الاخضر
Total GB0659- توليما كولمبي اخضر - ColombiaTolima(1Kg) CO121;;;;;0.00;;;0.00;0.0000;0.00;;
Closing Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
;;;;;;;;;;;;
GB1007-قهوة اربيكا هندي اخضر - Indian Arabica coffee 20;;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;910.00;50.0000;0.00;;
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;0.00;0.00;0.00;0.00;0.0000;0.00;;635 - مخزون البن الاخضر
Total GB1007-قهوة اربيكا هندي اخضر - Indian Arabica coffee 20;;;;;0.00;;;0.00;0.0000;0.00;;
Closing Balance;;;;;0.00;0.00;0.00;910.00;50.0000;0.00;;
;;;;;;;;;;;;
GB12022- مكسيكى مجففه اخضر - Mexico Arabica Natural(1Kg) MX122;;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;0.00;0.00;0.00;0.00;0.0000;0.00;;635 - مخزون البن الاخضر
Total GB12022- مكسيكى مجففه اخضر - Mexico Arabica Natural(1Kg) MX122;;;;;0.00;;;0.00;0.0000;0.00;;
Closing Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
;;;;;;;;;;;;
GB12023- مكسيكى مجففه اخضر - Mexico Arabica Natural(1Kg) MX123;;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;163.85;5.0000;0.00;;
17 أبريل 2025;Payable Credit Note;7211;امر تحميص مستودع البن الاخضر;Mexico Arabica Natural(1Kg) MX123;(147.47);32.77;32.77;(147.47);(4.5000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;(16.38);32.76;0.00;(16.38);(0.5000);0.00;;635 - مخزون البن الاخضر
Total GB12023- مكسيكى مجففه اخضر - Mexico Arabica Natural(1Kg) MX123;;;;;(163.85);;;(163.85);(5.0000);0.00;;
Closing Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
;;;;;;;;;;;;
GB12025-مكسيكي مجففة اخضر - Mexico Arabica Natural (1Kg) MX125 bags30;;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
02 نوفمبر 2025;Payable Invoice;طلبيه البن الاخضر المكسيكى 2025;JUS AND CO SA DE CV;Mexico Arabica Natural(1Kg) MX123 bags30;294,096.00;44.56;0.00;294,096.00;6,600.0000;0.00;;635 - مخزون البن الاخضر
05 نوفمبر 2025;Payable Credit Note;7227;امر تحميص مستودع البن الاخضر;Mexico Arabica Natural(1Kg) MX123 bags30;(339.68);45.29;45.29;(339.68);(7.5000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
18 نوفمبر 2025;Receivable Invoice;INV-4738;مقهى اناقة البن لتقديم المشروبات;Mexico Arabica Natural(1Kg) MX125 bags30;(2,040.00);44.56;68.00;(1,336.78);(30.0000);23.44;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
10 ديسمبر 2025;Payable Credit Note;7232;امر تحميص مستودع البن الاخضر;Mexico Arabica Natural(1Kg) MX123 bags30;(679.35);45.29;45.29;(679.35);(15.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
31 ديسمبر 2025;Adjustment;Quantity Increase;;جرد 31/12;1,313.41;45.29;0.00;1,313.41;29.0000;0.00;;635 - مخزون البن الاخضر
31 ديسمبر 2025;Adjustment;Revaluation;;تعديل السعر;4,796.08;0.00;0.00;4,796.08;0.0000;0.00;;635 - مخزون البن الاخضر
Total GB12025-مكسيكي مجففة اخضر - Mexico Arabica Natural (1Kg) MX125 bags30;;;;;297,146.46;;;297,849.69;6,576.5000;23.44;;
Closing Balance;;;;;0.00;0.00;0.00;297,849.69;6,576.5000;0.00;;
;;;;;;;;;;;;
GB1352- برازيلى اخضر - Brazil natural (1Kg) BRZ122;;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;0.00;0.00;0.00;0.00;0.0000;0.00;;635 - مخزون البن الاخضر
Total GB1352- برازيلى اخضر - Brazil natural (1Kg) BRZ122;;;;;0.00;;;0.00;0.0000;0.00;;
Closing Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
;;;;;;;;;;;;
GB1703- كوستريكا طبيعية اخضر - Costa Rica Natural (1Kg) C321;;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;8,793.05;242.5000;0.00;;
15 يناير 2025;Payable Credit Note;7200;امر تحميص مستودع البن الاخضر;Costa Rica Natural (1Kg) C321;(1,377.88);36.26;36.26;(1,377.88);(38.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
12 فبراير 2025;Payable Credit Note;7203;امر تحميص مستودع البن الاخضر;Costa Rica Natural (1Kg) C321;(1,377.88);36.26;36.26;(1,377.88);(38.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
26 فبراير 2025;Payable Credit Note;7205;امر تحميص مستودع البن الاخضر;Costa Rica Natural (1Kg) C321;(543.90);36.26;36.26;(543.90);(15.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
13 مارس 2025;Payable Credit Note;7207;امر تحميص مستودع البن الاخضر;Costa Rica Natural (1Kg) C321;(2,755.76);36.26;36.26;(2,755.76);(76.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
17 أبريل 2025;Payable Credit Note;7211;امر تحميص مستودع البن الاخضر;Costa Rica Natural (1Kg) C321;(2,719.50);36.26;36.26;(2,719.50);(75.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;(18.13);36.26;0.00;(18.13);(0.5000);0.00;;635 - مخزون البن الاخضر
Total GB1703- كوستريكا طبيعية اخضر - Costa Rica Natural (1Kg) C321;;;;;(8,793.05);;;(8,793.05);(242.5000);0.00;;
Closing Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
;;;;;;;;;;;;
"GB17301-كوستاريكا نارانجو اخضر - Costa Rica ""Naranjo""C123 (69Kg)";;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;272,412.00;8,280.0000;0.00;;
07 يناير 2025;Receivable Invoice;INV-2986;مقهى اناقة البن لتقديم المشروبات;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(11,385.00);32.90;55.00;(6,810.30);(207.0000);22.10;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
15 يناير 2025;Receivable Invoice;INV-3026;شركة موطن البن للتجارة;"Costa Rica ""Naranjo""(69Kg)  (bags2)";(7,210.50);32.90;52.25;(4,540.20);(138.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
15 يناير 2025;Payable Credit Note;7201;امر تحميص مستودع البن الاخضر;"Costa Rica ""Naranjo""C123 (bags69k)";(1,579.20);32.90;32.90;(1,579.20);(48.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
28 يناير 2025;Payable Credit Note;7202;امر تحميص مستودع البن الاخضر;"Costa Rica ""Naranjo""C123 (bags69k)";(2,006.90);32.90;32.90;(2,006.90);(61.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
28 يناير 2025;Receivable Invoice;INV-3099;شركة موطن البن للتجارة;"Costa Rica ""Naranjo""(69Kg)  (bags2)";(7,210.50);32.90;52.25;(4,540.20);(138.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
12 فبراير 2025;Payable Credit Note;7203;امر تحميص مستودع البن الاخضر;"Costa Rica ""Naranjo""C123 (bags69k)";(4,013.80);32.90;32.90;(4,013.80);(122.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
14 فبراير 2025;Receivable Invoice;INV-3206;شركة موطن البن للتجارة;"Costa Rica ""Naranjo""(69Kg)  (bags2)";(7,210.50);32.90;52.25;(4,540.20);(138.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
20 فبراير 2025;Receivable Invoice;INV-3231;مقهى اناقة البن لتقديم المشروبات;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(11,385.00);32.90;55.00;(6,810.30);(207.0000);22.10;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
20 فبراير 2025;Receivable Invoice;INV-3230;شركة موطن البن للتجارة;"Costa Rica ""Naranjo""(69Kg)  (bags2)";(7,210.50);32.90;52.25;(4,540.20);(138.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
26 فبراير 2025;Payable Credit Note;7205;امر تحميص مستودع البن الاخضر;"Costa Rica ""Naranjo""C123 (bags69k)";(4,013.80);32.90;32.90;(4,013.80);(122.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
02 مارس 2025;Receivable Invoice;INV-3292;شركة موطن البن للتجارة;"Costa Rica ""Naranjo""(69Kg)  (bags2)";(7,210.50);32.90;52.25;(4,540.20);(138.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
08 مارس 2025;Receivable Invoice;INV-3324;نادر الحربى;"Costa Rica ""Naranjo""(1Kg)(bags69k)";(3,795.00);32.90;55.00;(2,270.10);(69.0000);22.10;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
10 مارس 2025;Receivable Invoice;INV-3335;شركة موطن البن للتجارة;"Costa Rica ""Naranjo""(69Kg)  (bags2)";(7,210.50);32.90;52.25;(4,540.20);(138.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
13 مارس 2025;Receivable Invoice;INV-3343;مؤسسة دنيا التوريد التجارية;"Costa Rica ""Naranjo""(1Kg)  (bags69k)";(11,385.00);32.90;55.00;(6,810.30);(207.0000);22.10;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
13 مارس 2025;Payable Credit Note;7207;امر تحميص مستودع البن الاخضر;"Costa Rica ""Naranjo""C123 (bags69k)";(5,560.10);32.90;32.90;(5,560.10);(169.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
30 مارس 2025;Adjustment;Quantity Decrease;;"جرد 29/3/2025
";(230.30);32.90;0.00;(230.30);(7.0000);0.00;;635 - مخزون البن الاخضر
03 أبريل 2025;Receivable Invoice;INV-3464;شركة موطن البن للتجارة;"Costa Rica ""Naranjo""(69Kg)  (bags2)";(7,210.50);32.90;52.25;(4,540.20);(138.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
10 أبريل 2025;Payable Credit Note;7209;امر تحميص مستودع البن الاخضر;"Costa Rica ""Naranjo""C123 (bags69k)";(5,593.00);32.90;32.90;(5,593.00);(170.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
15 أبريل 2025;Receivable Invoice;INV-3535;مقهى اناقة البن لتقديم المشروبات;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(11,385.00);32.90;55.00;(6,810.30);(207.0000);22.10;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
17 أبريل 2025;Payable Credit Note;7210;امر تحميص مستودع البن الاخضر;"Costa Rica ""Naranjo""C123 (bags69k)";(3,191.30);32.90;32.90;(3,191.30);(97.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
19 أبريل 2025;Receivable Invoice;INV-3563;شركة موطن البن للتجارة;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(7,210.50);32.90;52.25;(4,540.20);(138.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
19 أبريل 2025;Receivable Invoice;INV-3562;نادر الحربى;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(3,795.00);32.90;55.00;(2,270.10);(69.0000);22.10;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
21 أبريل 2025;Receivable Invoice;INV-3571;مؤسسة محمد سليمان لتقديم الوجبات;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(3,795.00);32.90;55.00;(2,270.10);(69.0000);22.10;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
03 مايو 2025;Receivable Invoice;INV-3645;شركة موطن البن للتجارة;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(7,210.50);32.90;52.25;(4,540.20);(138.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
04 مايو 2025;Receivable Invoice;INV-3651;مقهى مذاق لذيذ لتقديم المشروبات;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(11,385.00);32.90;55.00;(6,810.30);(207.0000);22.10;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
12 مايو 2025;Receivable Invoice;INV-3694;شركة موطن البن للتجارة;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(7,210.50);32.90;52.25;(4,540.20);(138.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
14 مايو 2025;Receivable Invoice;INV-3700;مقهى اناقة البن لتقديم المشروبات;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k) 3خياش";(11,385.00);32.90;55.00;(6,810.30);(207.0000);22.10;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
19 مايو 2025;Payable Credit Note;7213;امر تحميص مستودع البن الاخضر;"Costa Rica ""Naranjo""C123 (bags69k)";(4,803.40);32.90;32.90;(4,803.40);(146.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
24 مايو 2025;Receivable Invoice;INV-3767;شركة موطن البن للتجارة;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(7,210.50);32.90;52.25;(4,540.20);(138.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
26 مايو 2025;Receivable Invoice;INV-3780;مقهى اناقة البن لتقديم المشروبات;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)

4خياش";(15,180.00);32.90;55.00;(9,080.40);(276.0000);22.10;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
26 مايو 2025;Receivable Invoice;INV-3778;نادر الحربى;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)
1خيشه";(3,795.00);32.90;55.00;(2,270.10);(69.0000);22.10;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
09 يونيو 2025;Receivable Invoice;INV-3856;مقهى اناقة البن لتقديم المشروبات;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(11,385.00);32.90;55.00;(6,810.30);(207.0000);22.10;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
11 يونيو 2025;Receivable Invoice;INV-3867;شركة موطن البن للتجارة;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(7,210.50);32.90;52.25;(4,540.20);(138.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
24 يونيو 2025;Payable Credit Note;7218;امر تحميص مستودع البن الاخضر;"Costa Rica ""Naranjo""C123 (bags69k)";(10,034.50);32.90;32.90;(10,034.50);(305.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
26 يونيو 2025;Adjustment;Quantity Decrease;;جرد 25/6;(345.45);32.90;0.00;(345.45);(10.5000);0.00;;635 - مخزون البن الاخضر
29 يونيو 2025;Receivable Invoice;INV-3961;شركة موطن البن للتجارة;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(7,210.50);32.90;52.25;(4,540.20);(138.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
02 يوليو 2025;Receivable Invoice;INV-3985;شركة موطن البن للتجارة;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(7,210.50);32.90;52.25;(4,540.20);(138.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
06 يوليو 2025;Receivable Invoice;INV-4007;مؤسسة محمد سليمان لتقديم الوجبات;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(7,590.00);32.90;55.00;(4,540.20);(138.0000);22.10;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
14 يوليو 2025;Receivable Invoice;INV-3920;شركة موطن البن للتجارة;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(7,210.50);32.90;52.25;(4,540.20);(138.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
24 يوليو 2025;Receivable Invoice;INV-4103;مؤسسة المحصول الانيق للتجارة;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k) عدد 3 اخياش";(11,385.00);32.90;55.00;(6,810.30);(207.0000);22.10;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
04 أغسطس 2025;Receivable Invoice;INV-4167;نادر الحربى;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(3,795.00);32.90;55.00;(2,270.10);(69.0000);22.10;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
05 أغسطس 2025;Payable Credit Note;7219;امر تحميص مستودع البن الاخضر;"Costa Rica ""Naranjo""C123 (bags69k)";(8,290.80);32.90;32.90;(8,290.80);(252.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
07 أغسطس 2025;Payable Credit Note;7220;امر تحميص مستودع البن الاخضر;"Costa Rica ""Naranjo""C123 (bags69k)";(7,501.20);32.90;32.90;(7,501.20);(228.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
14 أغسطس 2025;Receivable Invoice;INV-4236;مؤسسة المحصول الانيق للتجارة;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k) عدد 3 اخياش";(10,815.75);32.90;52.25;(6,810.30);(207.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
18 أغسطس 2025;Payable Credit Note;7221;امر تحميص مستودع البن الاخضر;"Costa Rica ""Naranjo""C123 (bags69k)";(10,034.50);32.90;32.90;(10,034.50);(305.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
20 أغسطس 2025;Receivable Invoice;INV-4261;مؤسسة المحصول الانيق للتجارة;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(18,026.25);32.90;52.25;(11,350.50);(345.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
04 سبتمبر 2025;Receivable Invoice;INV-4367;شركة المجال الحديثة لخدمات الاعاشة;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(3,795.00);32.90;55.00;(2,270.10);(69.0000);22.10;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
14 سبتمبر 2025;Payable Credit Note;7223;امر تحميص مستودع البن الاخضر;"Costa Rica ""Naranjo""C123 (bags69k)";(13,160.00);32.90;32.90;(13,160.00);(400.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
16 سبتمبر 2025;Payable Credit Note;7224;امر تحميص مستودع البن الاخضر;"Costa Rica ""Naranjo""C123 (bags69k)";(2,006.90);32.90;32.90;(2,006.90);(61.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;(378.35);32.90;0.00;(378.35);(11.5000);0.00;;635 - مخزون البن الاخضر
16 أكتوبر 2025;Payable Credit Note;7226;امر تحميص مستودع البن الاخضر;"Costa Rica ""Naranjo""C123 (bags69k)";(16,022.30);32.90;32.90;(16,022.30);(487.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
20 أكتوبر 2025;Receivable Invoice;INV-4586;مؤسسة المحصول الانيق للتجارة;"Costa Rica ""Naranjo""(1Kg)C123  (bags69k)";(3,605.25);32.90;52.25;(2,270.10);(69.0000);19.35;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
13 نوفمبر 2025;Payable Credit Note;7228;امر تحميص مستودع البن الاخضر;"Costa Rica ""Naranjo""C123 (bags69k)";(3,224.20);32.90;32.90;(3,224.20);(98.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
31 ديسمبر 2025;Adjustment;Quantity Decrease;;جرد31/12;(164.50);32.90;0.00;(164.50);(5.0000);0.00;;635 - مخزون البن الاخضر
"Total GB17301-كوستاريكا نارانجو اخضر - Costa Rica ""Naranjo""C123 (69Kg)";;;;;(379,379.25);;;(272,412.00);(8,280.0000);701.90;;
Closing Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
;;;;;;;;;;;;
"GB17302- كوستركا توبوسي اخضر - Costa Rica ""Tobosi""(1Kg)C221";;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;0.00;0.00;0.00;0.00;0.0000;0.00;;635 - مخزون البن الاخضر
"Total GB17302- كوستركا توبوسي اخضر - Costa Rica ""Tobosi""(1Kg)C221";;;;;0.00;;;0.00;0.0000;0.00;;
Closing Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
;;;;;;;;;;;;
GB2023- كاتورا عسلية اخضر - Mexico Catura Red Hony MX223-(bags30k);;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;1,791.72;54.0000;0.00;;
17 أبريل 2025;Payable Credit Note;7211;امر تحميص مستودع البن الاخضر;Mexico Catura Red Hony MX223-(bags30k);(1,791.72);33.18;33.18;(1,791.72);(54.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;0.00;0.00;0.00;0.00;0.0000;0.00;;635 - مخزون البن الاخضر
Total GB2023- كاتورا عسلية اخضر - Mexico Catura Red Hony MX223-(bags30k);;;;;(1,791.72);;;(1,791.72);(54.0000);0.00;;
Closing Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
;;;;;;;;;;;;
GB22022- باتشي مجففه اخضر - Mexico Pache Natural(1Kg)MX422-23-89;;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
30 سبتمبر 2025;Adjustment;Bulk Adjustment;;جرد 30/9 للبن الاخضر;0.00;0.00;0.00;0.00;0.0000;0.00;;635 - مخزون البن الاخضر
Total GB22022- باتشي مجففه اخضر - Mexico Pache Natural(1Kg)MX422-23-89;;;;;0.00;;;0.00;0.0000;0.00;;
Closing Balance;;;;;0.00;0.00;0.00;0.00;0.0000;0.00;;
;;;;;;;;;;;;
GB22023- باتشي مجففه اخضر - Mexico Pache Natural(1Kg)MX423(bags30k);;;;;;;;;;;;
Opening Balance;;;;;0.00;0.00;0.00;30,294.87;837.5000;0.00;;
15 يناير 2025;Payable Credit Note;7200;امر تحميص مستودع البن الاخضر;Mexico Pache Natural(1Kg)MX423(bags30k);(2,206.55);36.17;36.17;(2,206.55);(61.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
28 يناير 2025;Payable Credit Note;7202;امر تحميص مستودع البن الاخضر;Mexico Pache Natural(1Kg)MX423(bags30k);(1,374.57);36.17;36.17;(1,374.57);(38.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
13 مارس 2025;Payable Credit Note;7206;امر تحميص مستودع البن الاخضر;Mexico Pache Natural(1Kg)MX423(bags30k);(4,123.72);36.17;36.17;(4,123.72);(114.0000);0.00;635 - مخزون البن الاخضر;635 - مخزون البن الاخضر
15 مارس 2025;Receivable Invoice;INV-3369;مقهي حنان محسن حسين الكويليت لتقديم المشروبات;Mexico Pache Natural(1Kg)MX23(bags30k);(5,073.00);36.17;84.55;(2,170.38);(60.0000);48.38;201 - مبيعات القهوة الخضراء;635 - مخزون البن الاخضر
